Digitizer,ID,Sex,Species,Island,Species#,friends,Ecomorph,SVLruler,Taillength,Footlamellae,Handlamellae,SVL1,SVL2,Humerus,Ulna,Forelimb,Femur,Tibia,Hindlimb,Pectoral,Pelvic,MBlength,Headlength,HeadDepth,Jawlength,EyeDiam,logSVL,logtail,logfootlamellae,loghandlamellae,logforelimb,loghindlimb,logpectoral,logpelvic,logheadlength,logheaddepth,logjawlength,logeyediamter
Debbie,gingivinus-M-R139622,M,gingivinus,St. Maartin,2,2,,58,119,34,22,67.547818,68.9669908,12.7115636,9.23441242,21.945976,14.773491,15.3329204,30.1064114,7.41755337,11.7770262,30.0974339,18.9157382,11.4093481,18.3876347,5.81468371,1.76342799,2.07554696,1.53147892,1.34242268,1.3413549,1.47865899,0.87026068,1.07103564,1.27682329,1.05726083,1.26452587,0.7645261
Debbie,gingivinus-M-R139623,M,gingivinus,St. Maartin,2,2,,62,111,37,22,71.8714987,72.519052,11.481823,9.12132929,20.6031523,15.86761,13.8538992,29.7215092,10.6390678,8.31609669,30.6415918,22.7053609,10.8026637,19.6280715,5.99150455,1.79239169,2.04532298,1.56820172,1.34242268,1.31393367,1.47307086,1.02690358,0.91991953,1.35612841,1.03353086,1.29287763,0.77753589
Debbie,gingivinus-M-R139629,M,gingivinus,St. Maartin,2,2,,52.5,105,32,21,31.8385073,32.1393988,5.18091932,4.71624321,9.89716253,6.67845229,6.35402825,13.0324805,3.49627659,,12.7523816,9.29138983,,8.44735018,3.0653344,1.7201593,2.0211893,1.50514998,1.32221929,0.9955107,1.11502709,0.54360578,,0.96808068,,0.9267205,0.48647786
Debbie,gingivinus-M-R139640,M,gingivinus,St. Maartin,2,2,,57,120.5,35,22,65.5685058,66.6400166,10.3223137,8.99440774,19.3167214,14.3188974,12.8520276,27.1709249,8.88262261,8.31756411,27.2840826,19.9600139,10.2927889,17.8834345,6.3963829,1.75587486,2.08098705,1.54406804,1.34242268,1.28593342,1.43410442,0.94854121,0.91999616,1.30016084,1.01253307,1.25245093,0.80593445
Debbie,gingivinus-M-R139650,M,gingivinus,St. Maartin,2,2,,58,105,37,22,70.8767787,72.5414895,11.3095438,9.11561059,20.4251544,11.8637831,12.6614353,24.5252184,11.0808201,6.73640405,27.9236029,22.3211318,10.1400258,18.9586625,5.87176184,1.76342799,2.0211893,1.56820172,1.34242268,1.31016535,1.38961288,1.0445719,0.82842813,1.34871621,1.00603906,1.2778077,0.76876843
Debbie,grahami-F-R115230,F,grahami,Jamaica,7,7,TC,45,81,35,23,47.4959067,51.5130445,7.73182007,6.42373414,14.1555542,12.0395319,9.91159768,21.9511296,8.4542437,6.14058985,19.3205815,15.1965279,8.29995119,13.6631051,5.09730775,1.65321251,1.90848502,1.54406804,1.36172784,1.15092688,1.34145687,0.92707476,0.78821009,1.18174437,0.91907554,1.13554941,0.70734085
Debbie,grahami-F-R115232,F,grahami,Jamaica,7,7,TC,42,83,37,23,48.6310585,49.9576333,9.03347632,6.20898475,15.2424611,11.331464,8.82150354,20.1529675,5.54846255,6.01207893,18.6843255,15.400046,9.00549273,13.8179349,4.44093226,1.62324929,1.91907809,1.56820172,1.36172784,1.18305509,1.30433901,0.74417266,0.77902467,1.18752202,0.95450748,1.14044314,0.64747415
Debbie,grahami-F-R122545,F,grahami,Jamaica,7,7,TC,32,59,36,24,38.3491853,39.8575075,5.88040805,4.4076821,10.2880901,8.41395394,7.36857643,15.7825304,5.72114363,5.35359136,16.0059953,11.2140747,6.53820778,9.13114448,3.2044281,1.50514998,1.77085201,1.5563025,1.38021124,1.01233476,1.19817663,0.75748285,0.72864522,1.04976345,0.81545872,0.96052521,0.50575053
Debbie,grahami-F-R122551,F,grahami,Jamaica,7,7,TC,46,89.5,37,25,54.8808233,55.7729586,7.00397954,6.36792243,13.371902,10.9275784,10.4892318,21.4168102,8.60142303,7.01700009,21.3187146,15.3233939,7.65922968,13.1984326,4.03262504,1.66275783,1.95182304,1.56820172,1.39794001,1.12619318,1.33075479,0.93457031,0.84615148,1.18535497,0.88418509,1.12052236,0.60558784
Debbie,grahami-F-R122553,F,grahami,Jamaica,7,7,TC,38,70,33,22,45.1505622,46.3255694,7.22831533,5.44275346,12.6710688,10.0850962,8.53319329,18.6182895,6.64609817,4.38291108,17.3745392,13.5704131,6.66743455,10.7386528,3.84011701,1.5797836,1.84509804,1.51851394,1.34242268,1.10281325,1.26993978,0.82256675,0.64176266,1.13259307,0.82395876,1.0309498,0.58434446
Debbie,grahami-M-R115211,M,grahami,Jamaica,7,7,TC,63,116,39,27,72.9571797,74.7654845,10.2111876,10.0989422,20.3101298,13.1196223,14.0242495,27.1438718,13.7627876,9.5137793,27.1422073,22.2616044,10.0982145,18.4086585,5.74880857,1.79934055,2.06445799,1.59106461,1.43136376,1.3077127,1.4336718,1.13870641,0.97835307,1.34755646,1.00424459,1.26502214,0.75957785
Debbie,grahami-M-R122530,M,grahami,Jamaica,7,7,TC,64,127,39,28,68.0304544,72.9225041,10.8112773,10.9975952,21.8088724,15.7152254,10.6774112,26.3926365,11.8061467,11.7014372,30.7176695,20.3866005,12.8150999,17.9122206,5.46522328,1.80617997,2.10380372,1.59106461,1.44715803,1.33863321,1.42148278,1.07210818,1.06823921,1.30934481,1.107722,1.25314943,0.73760791
Debbie,grahami-M-R122537,M,grahami,Jamaica,7,7,TC,59,114.5,39,26,66.0486935,69.3337292,10.5176233,8.73463956,19.2522628,14.497721,12.665446,27.163167,10.2463644,9.63020305,25.9382875,20.2208033,10.8658152,16.2045428,5.42124972,1.77085201,2.05880549,1.59106461,1.41497335,1.28448178,1.4339804,1.0105698,0.98363544,1.3057984,1.03606231,1.20963678,0.73409941
Debbie,grahami-M-R122538,M,grahami,Jamaica,7,7,TC,52,101,35,25,57.5123895,58.8907474,8.81662197,7.57386404,16.390486,15.5214555,11.1660779,26.6875335,9.61446016,7.54193614,22.4108795,17.0237878,10.2925749,15.4529295,4.2230649,1.71600334,2.00432137,1.54406804,1.39794001,1.21459183,1.42630844,0.9829249,0.87748285,1.2310562,1.01252404,1.18901082,0.62562776
Debbie,grahami-M-R122560,M,grahami,Jamaica,7,7,TC,63.5,121,38,28,68.5693145,72.7380983,9.23411302,9.18554488,18.4196579,14.596586,12.1152226,26.7118086,11.256353,11.3087632,27.0816582,21.6460865,12.6900991,18.540067,5.54082123,1.80277373,2.08278537,1.5797836,1.44715803,1.26528156,1.42670329,1.05139771,1.05341511,1.33537939,1.10346501,1.2681113,0.74357414
Lela,griseus-F-123014,F,griseus,St. Vincent,2,2,,82,177,43,24,69.9287593,90.5125741,21.2220667,11.3649422,32.5870088,20.803908,18.238196,39.042104,10.9954813,11.4341529,33.9491124,25.3069085,4.08375315,20.2497551,7.02846942,1.91381385,2.24797327,1.63346846,1.38021124,1.5130445,1.59153321,1.04121425,1.058204,1.4032391,0.61105948,1.30641977,0.84686076
Lela,griseus-F-123061,F,griseus,St. Vincent,2,2,,73,165,44,23,58.3710276,84.4158749,19.2575805,8.79704401,28.0546246,20.7086423,17.1188218,37.8274642,11.9315961,9.64976749,31.3934615,19.1957551,3.27198973,12.4142297,6.79060896,1.86332286,2.21748394,1.64345268,1.36172784,1.44800446,1.57780723,1.07669855,0.98451685,1.2832052,0.51481193,1.09391978,0.83190872
Lela,griseus-F-80489,F,griseus,St. Vincent,2,2,,73,165,42,23,63.8556263,82.9307388,15.9859019,10.8763423,26.8622443,21.680293,17.6260943,39.3063873,10.0613048,9.84319534,30.2744995,24.237476,5.04254218,20.6723458,6.65492154,1.86332286,2.21748394,1.62324929,1.36172784,1.42914229,1.59446313,1.00265431,0.9931361,1.38448739,0.70264954,1.31538976,0.82314294
