NEW,TX,Freeze,Bud,07/04/2017,10/04/2017,11/04/2017,13/04/2017,17/04/2017,24/04/2017,28/04/2017,01/05/2017,03/05/2017,06/05/2017,10/05/2017,13/05/2017,15/05/2017,19/05/2017,23/05/2017,25/05/2017,30/05/2017,01/06/2017,05/06/2017,08/06/2017,12/06/2017,15/06/2017,20/06/2017,25/06/2017,03/07/2017,07/07/2017,11/07/2017,14/07/2017,17/07/2017,26/07/2017,28/07/2017,01/08/2017,07/08/2017,14/08/2017
BETPAP_G02,B,20/06/2017,Blue,,,,,,,,,,,,,,,,,,,,,,,10,15,,,,,,,,,,
BETPAP_G02,B,,Red,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,
BETPAP_G02,B,,Green,,,,,,,,,,,,,,,,,,,,,,9,12,15,dead,,,,,,,,,
BETPAP_G02,B,,Black,,,,,,,,,,,,,,,,,,,,,9,10,14,15,dead,,,,,,,,,
BETPAP_G02,B,,YELLOW,,,,,,,,,,,,,,,,,,,,,,9,,,10,,,,,,,,,
BETPAP_G02,B,,W-BU,,,,,,,,,,,,,,,,,,,,,9,13,9,9,15,,,,,,,,,
BETPAP_G02,B,,W-R,,,,,,,,,,,,,,,,,,,,,9,,,9,13,,,,,,,,,
BETPAP_G02,B,,BU-BU,,,,,,,,,,,,,,,,,,,,,,11,15,,,,,,,,,,,
BETPAP_G02,B,,BU-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G02,B,,BU - R,,,,,,,,,,,,,,,,,,,,,,13,15,,,,,,,,,,,
BETPAP_G02,B,,R-BU,,,,,,,,,,,,,,,,,,,,,,,12,15,,,,,,,,,,
BETPAP_G02,B,,R-R,,,,,,,,,,,,,,,,,,,,,,9,13,15,,,,,,,,,,
BETPAP_G02,B,,R-G,,,,,,,,,,,,,,,,,,,,,,9,12,15,,,,,,,,,,
BETPAP_G02,B,,G-BU,,,,,,,,,,,,,,,,,,,,,,10,15,,,,,,,,,,,
BETPAP_G02,B,,G-R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G02,B,,G-G,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,
BETPAP_G02,B,,G-B,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,
BETPAP_G02,B,,BA-BU,,,,,,,,,,,,,,,,,,,,,,,,13,15,,,,,,,,,
BETPAP_G02,B,,BA - B,,,,,,,,,,,,,,,,,,,,,,,,12,15,,,,,,,,,
BETPAP_G02,B,,G/R-BU,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,
BETPAP_G02,B,,G/R-R,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,
BETPAP_G02,B,,G/R-G,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,
BETPAP_G02,B,,G/R-B,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,
BETPAP_G03,A,,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,13,15,,,,,DONE!,
BETPAP_G03,A,,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,10,15,,,
BETPAP_G03,A,,Green,,,,,,,,,,,,,,,,,,,,,,,,,,,9,15,,,,,,
BETPAP_G03,A,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,9,9,,
BETPAP_G03,A,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,,
BETPAP_G03,A,,W-BU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,
BETPAP_G03,A,,W-R,,,,,,,,,,,,,,,,,,,,,,,,,,,14,15,,,,,,
BETPAP_G03,A,,W-G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,14,,
BETPAP_G03,A,,R-BU,,,,,,,,,,,,,,,,,,,,,,,,,,13,15,,,,,,,
BETPAP_G03,A,,R-R,,,,,,,,,,,,,,,,,,,,,,,,,,,13,15,,,,,,
BETPAP_G03,A,,R-G,,,,,,,,,,,,,,,,,,,,,,,,,,13,15,,,,,,,
BETPAP_G03,A,,BU - G,,,,,,,,,,,,,,,,,,,,,,,,,,9,15,,,,,,,
BETPAP_G03,A,,G-BU,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,
BETPAP_G03,A,,G-R,,,,,,,,,,,,,,,,,,,,,,,,,,,14,15,,,,,,
BETPAP_G03,A,,BA-BU,,,,,,,,,,,,,,,,,,,,,,,,9,,15,,,,,,,,
BETPAP_G03,A,,BA-R,,,,,,,,,,,,,,,,,,,,,,,,13,,15,,,,,,,,
BETPAP_G03,A,,BA-G,,,,,,,,,,,,,,,,,,,,,,,,9,,14,15,,,,,,,
BETPAP_G03,A,,BA-B,,,,,,,,,,,,,,,,,,,,,,,,,(missed),9,15,,,,,,,
BETPAP_G04,A,,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,11,13,13,DONE!
BETPAP_G04,A,,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,15,
BETPAP_G04,A,,Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,15,,,
BETPAP_G04,A,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,
BETPAP_G04,A,,Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G04,A,,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,15,,,
BETPAP_G04,A,,BU-BU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G04,A,,BU-R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,15,
BETPAP_G04,A,,BU-G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,
BETPAP_G04,A,,BU-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,15,
BETPAP_G04,A,,BU-G/R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,
BETPAP_G04,A,,R-BU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,15,,
BETPAP_G04,A,,R-R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,15,,,
BETPAP_G04,A,,R-G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,15,,,
BETPAP_G04,A,,R-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,15,,,
BETPAP_G04,A,,BU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,15,,
BETPAP_G04,A,,G-BU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G04,A,,G-R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G04,A,,G-G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G04,A,,G-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,
BETPAP_G04,A,,G-G/R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,
BETPAP_G05,A,,Blue,,,,,,,,,,,,,,,,,,,,,,,,9,missed,14,15,,,,,DONE!,,
BETPAP_G05,A,,Red,,,,,,,,,,,,,,,,,,,,,,,,9,,9,10,15,,,,,,
BETPAP_G05,A,,Green,,,,,,,,,,,,,,,,,,,,,,,,9,,9,10,15,,,,,,
BETPAP_G05,A,,Black,,,,,,,,,,,,,,,,,,,,,,,,9,,9,15,,,,,,,
BETPAP_G05,A,,Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,10,15,,,,,,
BETPAP_G05,A,,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,,,
BETPAP_G05,A,,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,15,,,,,
BETPAP_G05,A,,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,9,15,,,,,,
BETPAP_G05,A,,Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G05,A,,Y-BU,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,15,,,,,
BETPAP_G05,A,,Y-R,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,15,,,,,
BETPAP_G05,A,,Y-G,,,,,,,,,,,,,,,,,,,,,,,,,,10,15,,,,,,,
BETPAP_G05,A,,Y-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,15,,,,,
BETPAP_G05,A,,Y-Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G05,A,,R-BU,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,
BETPAP_G05,A,,R-R,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,
BETPAP_G05,A,,R-G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G05,A,,R-B,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,
BETPAP_G05,A,,U-BU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,13,13,,,
BETPAP_G05,A,,U-R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,13,13,,,
BETPAP_G05,A,,U-G,,,,,,,,,,,,,,,,,,,,,,,,,,,13,15,,,,,,
BETPAP_G05,A,,U-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,15,,,,,
